iter	Passed	Remaining
0	8	8316
1	14	7390
2	22	7544
3	27	6909
4	30	6111
5	35	5958
6	40	5729
7	44	5508
8	49	5468
9	52	5235
10	56	5053
11	60	4942
12	65	4942
13	70	4950
14	74	4885
15	78	4840
16	81	4735
17	85	4684
18	90	4663
19	97	4795
20	101	4714
21	108	4837
22	113	4821
23	119	4853
24	125	4903
25	129	4853
26	135	4866
27	140	4876
28	149	5011
29	152	4938
30	156	4877
31	168	5085
32	173	5085
33	182	5179
34	191	5289
35	200	5376
36	205	5354
37	212	5387
38	217	5370
39	223	5368
40	232	5430
41	238	5435
42	246	5487
43	250	5445
44	254	5409
45	258	5369
46	262	5329
47	266	5294
48	271	5266
49	275	5238
50	286	5339
51	293	5348
52	301	5389
53	306	5367
54	314	5408
55	318	5376
56	323	5346
57	328	5331
58	333	5317
59	337	5294
60	344	5298
61	348	5265
62	351	5225
63	354	5188
64	363	5223
65	366	5190
66	370	5154
67	375	5148
68	380	5139
69	417	5552
70	422	5526
71	474	6119
72	479	6089
73	484	6058
74	503	6206
75	511	6220
76	515	6183
77	518	6131
78	534	6234
79	540	6218
80	581	6598
81	584	6546
82	589	6515
83	601	6557
84	604	6508
85	609	6474
86	614	6448
87	654	6784
88	658	6741
89	661	6692
90	666	6658
91	669	6611
92	673	6569
93	676	6520
94	680	6481
95	683	6437
96	687	6398
97	705	6496
98	713	6490
99	724	6521
100	731	6515
101	736	6483
102	740	6452
103	746	6430
104	749	6391
105	796	6714
106	800	6681
107	803	6635
108	809	6617
109	814	6593
110	822	6587
111	826	6554
112	829	6514
113	836	6501
114	841	6477
115	845	6440
116	850	6422
117	854	6386
118	862	6386
119	866	6352
120	870	6322
121	878	6319
122	881	6284
123	885	6257
124	894	6260
125	903	6268
126	908	6247
127	911	6211
128	917	6192
129	926	6198
130	929	6166
131	932	6133
132	939	6125
133	942	6093
134	946	6066
135	959	6096
136	971	6119
137	978	6109
138	981	6080
139	985	6056
140	989	6026
141	992	5999
142	999	5991
143	1002	5962
144	1008	5945
145	1013	5929
146	1016	5898
147	1021	5881
148	1030	5883
149	1033	5854
150	1038	5837
151	1040	5807
152	1046	5794
153	1050	5770
154	1059	5776
155	1063	5753
156	1066	5725
157	1072	5716
158	1076	5692
159	1079	5668
160	1083	5647
161	1093	5655
162	1096	5633
163	1106	5639
164	1112	5631
165	1121	5633
166	1126	5620
167	1131	5603
168	1135	5583
169	1146	5595
170	1152	5589
171	1163	5601
172	1167	5580
173	1176	5583
174	1180	5565
175	1183	5541
176	1190	5537
177	1242	5736
178	1255	5760
179	1259	5739
180	1263	5717
181	1268	5699
182	1271	5678
183	1275	5657
184	1278	5633
185	1303	5703
186	1308	5687
187	1342	5798
188	1347	5780
189	1353	5770
190	1357	5750
191	1364	5741
192	1368	5724
193	1372	5700
194	1378	5690
195	1382	5670
196	1386	5649
197	1393	5644
198	1397	5624
199	1400	5602
200	1404	5581
201	1410	5573
202	1415	5555
203	1420	5544
204	1424	5523
205	1427	5502
206	1431	5484
207	1440	5485
208	1446	5473
209	1452	5465
210	1457	5450
211	1462	5434
212	1465	5415
213	1470	5399
214	1473	5381
215	1482	5379
216	1487	5366
217	1493	5357
218	1497	5338
219	1500	5319
220	1503	5298
221	1506	5278
222	1511	5266
223	1515	5250
224	1518	5231
225	1522	5214
226	1528	5205
227	1532	5190
228	1536	5172
229	1543	5166
230	1549	5159
231	1554	5146
232	1557	5127
233	1560	5107
234	1563	5090
235	1566	5072
236	1576	5074
237	1583	5068
238	1588	5056
239	1591	5039
240	1595	5025
241	1600	5012
242	1606	5004
243	1610	4989
244	1612	4970
245	1619	4964
246	1623	4948
247	1626	4930
248	1631	4921
249	1637	4913
250	1654	4938
251	1658	4921
252	1664	4915
253	1667	4898
254	1672	4884
255	1677	4874
