iter	Logloss
0	0.6916233755
1	0.6897779483
2	0.6884633563
3	0.6875080423
4	0.6862589234
5	0.6844933645
6	0.682740046
7	0.681473021
8	0.6796565839
9	0.6782397265
10	0.6768304728
11	0.6754793558
12	0.6739085071
13	0.6727877467
14	0.6723805016
15	0.6715169822
16	0.6702009887
17	0.6680738969
18	0.6668046195
19	0.665234371
20	0.6633345447
21	0.661889838
22	0.6606655654
23	0.6593948779
24	0.6576668982
25	0.6566671734
26	0.655215037
27	0.6540187126
28	0.652549537
29	0.6512082898
30	0.6496818346
31	0.6482021927
32	0.647362312
33	0.6459734012
34	0.6456462844
35	0.6441619737
36	0.6422171402
37	0.6410104893
38	0.6396141245
39	0.6381392913
40	0.637238494
41	0.6365588789
42	0.6350435858
43	0.6333583464
44	0.6330538792
45	0.6321997044
46	0.6310352482
47	0.6295057711
48	0.6281803559
49	0.6266983711
50	0.624917459
51	0.6237311409
52	0.6225414427
53	0.621615312
54	0.6208392273
55	0.6197886253
56	0.6192509353
57	0.6179123307
58	0.6165137272
59	0.6153644903
60	0.6145313863
61	0.6131755161
62	0.6118868626
63	0.6104706834
64	0.6097107002
65	0.6090057858
66	0.607681886
67	0.6069536384
68	0.6053409873
69	0.6037174311
70	0.6024001395
71	0.6017328332
72	0.6001836374
73	0.5993569845
74	0.5980500915
75	0.5965566044
76	0.5957826435
77	0.5948710729
78	0.5938985238
79	0.5929544912
80	0.5922045253
81	0.5914053662
82	0.590859852
83	0.5898394611
84	0.5882984667
85	0.5873673666
86	0.5869223834
87	0.58641688
88	0.5851872722
89	0.5844552812
90	0.5832577609
91	0.5826943213
92	0.5820536599
93	0.5811348851
94	0.580370449
95	0.5793934629
96	0.578453221
97	0.5772015446
98	0.5763891978
99	0.5759554238
100	0.5750372772
101	0.5739263845
102	0.5729562765
103	0.5721810556
104	0.5717510348
105	0.5704558235
106	0.5699685326
107	0.5691136074
108	0.5684210686
109	0.5679274256
110	0.5674349709
111	0.5667213259
112	0.5659708867
113	0.5648768904
114	0.5633834283
115	0.5625565396
116	0.5615257309
117	0.5607733365
118	0.5601202149
119	0.5592366193
120	0.5582804539
121	0.5573917813
122	0.5563182554
123	0.5553523815
124	0.5545264008
125	0.5537397814
126	0.5529468315
127	0.5519993388
128	0.5515595366
129	0.551061302
130	0.5501955304
131	0.5495133659
132	0.5486714453
133	0.5482615643
134	0.5474111883
135	0.546437637
136	0.5455299732
137	0.5448807113
138	0.5443141053
139	0.543442532
140	0.5427670845
141	0.5420566301
142	0.5414906162
143	0.5407630533
144	0.5400162439
145	0.5391465105
146	0.538523696
147	0.5376710161
148	0.5367160571
149	0.5363860952
150	0.5356230069
151	0.5349527907
152	0.5343913692
153	0.5337127167
154	0.5334493906
155	0.5327208162
156	0.5321744583
157	0.5315792065
158	0.5309560415
159	0.5301036528
160	0.5293053261
161	0.5287837592
162	0.5281438325
163	0.5274368406
164	0.5265421025
165	0.5259397734
166	0.5250300857
167	0.5242511995
168	0.523986567
169	0.52310582
170	0.5226144263
171	0.5216289074
172	0.5210956044
173	0.5206870686
174	0.5197891614
175	0.5190440049
176	0.518537852
177	0.5182337553
178	0.5175347127
179	0.5170169327
180	0.5167115494
181	0.5162888472
182	0.5158623561
183	0.5147284252
184	0.5143545252
185	0.513735141
186	0.5131276306
187	0.5125391163
188	0.5118932006
189	0.5115103852
190	0.5106035963
191	0.5099298147
192	0.509002999
193	0.508572783
194	0.5082162811
195	0.5076574458
196	0.5070141376
197	0.5068257789
198	0.5059476928
199	0.5055792646
200	0.5054217556
201	0.504933633
202	0.5044992875
203	0.503950468
204	0.5032968483
205	0.5024094404
206	0.5021053683
207	0.5015442736
208	0.5012372786
209	0.5005507956
210	0.4998015029
211	0.4995686545
212	0.4989405503
213	0.4980421013
214	0.4977041886
215	0.4976542135
216	0.4970306947
217	0.4965134088
218	0.4959288521
219	0.4955713028
220	0.4945025797
221	0.4939642104
222	0.493585193
223	0.493026414
224	0.4922972888
225	0.4918945565
226	0.4910856729
227	0.4907168132
228	0.4901895778
229	0.4899554938
230	0.4895677759
231	0.4891861523
232	0.4890185924
233	0.4878592165
234	0.4877316196
235	0.4874468262
236	0.4870751393
237	0.486606328
238	0.4862029561
239	0.4855645587
240	0.4853894711
241	0.4851612292
242	0.4845120776
243	0.4837821562
244	0.4832986282
245	0.4828922405
246	0.4828808062
247	0.4826147645
248	0.482385407
249	0.4816997535
250	0.4810875972
251	0.4804383398
252	0.4800040968
253	0.4792043481
254	0.4787617097
255	0.4783755221
256	0.4780462995
257	0.477557002
258	0.4771445465
259	0.4766640313
260	0.4759270208
261	0.4755899049
262	0.4750029892
263	0.4746260518
264	0.4738668028
265	0.473644267
266	0.4731520115
267	0.473068562
268	0.4723334642
269	0.4720827644
270	0.4717314534
271	0.4712666887
272	0.470829784
273	0.4701695531
274	0.4699554713
275	0.4692621658
276	0.4688461974
277	0.4683381672
278	0.4679627077
279	0.4677642943
280	0.4671775141
281	0.4668998291
282	0.46641116
283	0.4658394067
284	0.465723524
285	0.4651747515
286	0.464536556
287	0.4638819371
288	0.4632902783
289	0.4624241881
290	0.4623157527
291	0.4616441667
292	0.4609655785
293	0.4604417332
294	0.4602488997
295	0.4597816782
296	0.4587609151
297	0.4584549502
298	0.4580281949
299	0.4573813371
300	0.45705415
301	0.4566650847
302	0.456079395
303	0.4559089921
304	0.4555750605
305	0.4551574825
306	0.4546009231
307	0.4541445469
308	0.4537563852
309	0.4531838019
310	0.452543949
311	0.4520813615
312	0.4516677468
313	0.4506647575
314	0.4503752497
315	0.450184484
316	0.4499552099
317	0.4496130754
318	0.4495006589
319	0.4491077792
320	0.4487247354
321	0.4484050582
322	0.4479964349
323	0.4473874848
324	0.4469165591
325	0.4466413316
326	0.4463779161
327	0.4457375511
328	0.4454526175
329	0.4449295915
330	0.4442480387
331	0.4439895639
332	0.4435350613
333	0.4430064126
334	0.4428837086
335	0.4427116851
336	0.4423809194
337	0.4422004371
338	0.4413279025
339	0.440745789
340	0.4402882042
341	0.4401071223
342	0.4399645773
343	0.4395324798
344	0.4389354275
345	0.4385306856
346	0.4382221782
347	0.4380697694
348	0.4378988242
349	0.4375556524
350	0.4370725505
351	0.4363027959
352	0.4360555787
353	0.4360034226
354	0.4357539442
355	0.4354161128
356	0.4350091139
357	0.4346521882
358	0.4343870997
359	0.4337803241
360	0.4335766616
361	0.4329642173
362	0.432648477
363	0.4321830803
364	0.4317124969
365	0.4313170068
366	0.4309255083
367	0.4304630831
368	0.4303787813
369	0.4299724748
370	0.4296098322
371	0.4292573484
372	0.4286647813
373	0.42848543
374	0.4282787072
375	0.4278682559
376	0.4273038652
377	0.4270520498
378	0.4265542736
379	0.4261710383
380	0.4259019278
381	0.4254503594
382	0.4250888202
383	0.4248139897
384	0.4242360447
385	0.423939567
386	0.4233276325
387	0.4229602799
388	0.4226528071
389	0.4225504523
390	0.4219501188
391	0.4217271467
392	0.4214861096
393	0.4214196075
394	0.4211166934
395	0.4211080813
396	0.4206473095
397	0.4195895646
398	0.4194595579
399	0.4191874064
400	0.4185666234
401	0.4181923267
402	0.4178117929
403	0.4175653499
404	0.4173141964
405	0.4168293912
406	0.4163669641
407	0.4158724603
408	0.4156035983
409	0.4152564395
410	0.4149330558
411	0.4148478342
412	0.4147430664
413	0.4143790561
414	0.4143263131
415	0.4140338014
416	0.41359316
417	0.4133933842
418	0.4131799678
419	0.4127313705
420	0.4123556641
421	0.4119455352
422	0.4116001458
423	0.4111765297
424	0.4109223956
425	0.4103739342
426	0.4100298128
427	0.4098206678
428	0.4094456419
429	0.4091023669
430	0.4087499976
431	0.4085897293
432	0.4082914804
433	0.4080313278
434	0.4075659107
435	0.4075028701
436	0.4073145221
437	0.4071161516
438	0.4066601817
439	0.4064452903
440	0.406330278
441	0.4059237449
442	0.4058908544
443	0.4056986241
444	0.4052613766
445	0.4048666044
446	0.4041503232
447	0.4037631041
448	0.403484193
449	0.4031496923
450	0.4025888479
451	0.4022702326
452	0.4019456414
453	0.4017655695
454	0.4015535499
455	0.4015484506
456	0.4013656701
457	0.4009188612
458	0.40063591
459	0.4000904118
460	0.3996215466
461	0.3993439861
462	0.3989487044
463	0.398730958
464	0.3982509947
465	0.3980860049
466	0.3977073932
467	0.3972485555
468	0.397004559
469	0.3968787069
470	0.3966735539
471	0.3959880127
472	0.3956990963
473	0.3955352713
474	0.3952681037
475	0.3948871253
476	0.3947625386
477	0.3943889191
478	0.3941556856
479	0.393928763
480	0.3936529892
481	0.3932501161
482	0.3928679696
483	0.3925376196
484	0.3922297516
485	0.3920448805
486	0.3917456779
487	0.3911947208
488	0.3910638174
489	0.390210915
490	0.3900486474
491	0.3897140127
492	0.3892486229
493	0.3889718257
494	0.3887479308
495	0.3882265337
496	0.3876862425
497	0.3874058356
498	0.3869257344
499	0.3866243784
500	0.3858607082
501	0.3856595363
502	0.3851865506
503	0.3851037189
504	0.3846753684
505	0.3844850345
506	0.3840770953
507	0.3839507841
508	0.383851051
