iter	Passed	Remaining
0	5	5959
1	7	3775
2	9	3089
3	11	2859
4	13	2662
5	15	2568
6	17	2552
7	20	2517
8	26	2876
9	28	2796
10	30	2725
11	36	3013
12	39	3007
13	41	2934
14	43	2845
15	45	2803
16	49	2888
17	55	3013
18	56	2942
19	58	2875
20	62	2924
21	70	3143
22	83	3550
23	89	3645
24	92	3606
25	95	3594
26	97	3531
27	99	3466
28	101	3414
29	104	3368
30	106	3342
31	109	3305
32	111	3261
33	113	3223
34	115	3183
35	118	3160
36	120	3137
37	122	3111
38	131	3249
39	134	3227
40	140	3283
41	143	3279
42	146	3269
43	148	3237
44	151	3211
45	153	3177
46	154	3141
47	156	3107
48	158	3085
49	161	3062
50	164	3060
51	168	3065
52	170	3046
53	177	3112
54	179	3087
55	183	3090
56	188	3124
57	192	3122
58	194	3102
59	197	3093
60	199	3071
61	202	3059
62	204	3039
63	206	3017
64	208	2992
65	209	2969
66	212	2957
67	215	2959
68	217	2940
69	219	2913
70	220	2889
71	221	2858
72	223	2833
73	224	2809
74	231	2860
75	233	2842
76	235	2828
77	238	2818
78	246	2867
79	248	2862
80	251	2849
81	253	2833
82	261	2889
83	266	2904
84	273	2945
85	275	2927
86	277	2909
87	279	2892
88	281	2882
89	283	2861
90	287	2872
91	289	2857
92	291	2843
93	293	2830
94	295	2810
95	297	2798
96	300	2799
97	303	2797
98	305	2782
99	307	2771
100	310	2760
101	315	2774
102	318	2769
103	319	2753
104	321	2740
105	323	2728
106	324	2709
107	328	2716
108	335	2741
109	337	2732
110	339	2720
111	341	2705
112	344	2702
113	346	2691
114	348	2681
115	350	2672
116	353	2664
117	360	2691
118	362	2683
119	365	2677
120	366	2665
121	368	2652
122	374	2668
123	377	2664
124	379	2658
125	382	2650
126	385	2652
127	388	2648
128	391	2641
129	395	2643
130	397	2638
131	402	2649
132	405	2645
133	408	2637
134	410	2632
135	419	2665
136	422	2662
137	425	2658
138	428	2654
139	430	2647
140	433	2641
141	435	2633
142	439	2633
143	442	2632
144	451	2661
145	458	2679
146	460	2670
147	473	2725
148	475	2718
149	478	2710
150	482	2712
151	487	2719
152	490	2715
153	493	2710
154	495	2701
155	497	2691
156	506	2720
157	508	2710
158	512	2711
159	520	2733
160	522	2724
161	525	2720
162	532	2734
163	535	2731
164	538	2723
165	540	2714
166	542	2706
167	550	2724
168	552	2714
169	556	2717
170	558	2709
171	561	2701
172	563	2693
173	572	2719
174	576	2717
175	579	2712
176	587	2729
177	589	2724
178	593	2723
179	600	2737
180	602	2727
181	605	2720
182	607	2711
183	613	2721
184	615	2711
185	617	2700
186	619	2693
187	622	2689
188	628	2698
189	631	2691
190	633	2684
191	636	2680
192	645	2697
193	647	2691
194	650	2684
195	660	2708
196	663	2703
197	665	2697
198	669	2696
199	672	2688
200	674	2680
201	676	2672
202	678	2665
203	687	2682
204	694	2691
205	711	2741
206	717	2748
207	720	2742
208	722	2734
209	724	2727
210	731	2736
211	735	2733
212	737	2724
213	739	2716
214	744	2716
215	746	2709
216	749	2702
217	754	2706
218	757	2700
219	760	2697
220	762	2688
221	766	2685
222	770	2684
223	772	2676
224	776	2673
225	778	2664
226	783	2667
227	787	2667
228	790	2662
229	795	2661
230	800	2665
231	803	2659
232	807	2657
233	811	2657
234	814	2650
235	816	2643
236	821	2643
237	831	2662
238	834	2656
239	845	2677
240	858	2704
241	861	2696
242	864	2693
243	873	2706
244	877	2705
245	881	2701
246	884	2695
247	888	2694
248	893	2693
249	895	2685
250	899	2684
251	907	2693
252	909	2686
253	911	2678
254	914	2670
255	917	2665
256	920	2661
257	922	2653
258	927	2652
259	929	2645
260	931	2637
261	933	2629
262	935	2621
263	941	2625
264	944	2619
265	947	2613
266	949	2605
267	951	2599
268	957	2602
269	961	2598
270	963	2591
271	965	2584
272	969	2582
273	972	2576
274	974	2568
275	976	2561
276	978	2553
277	980	2545
278	984	2545
279	987	2539
280	991	2535
281	998	2542
282	1000	2535
283	1002	2527
284	1005	2522
285	1007	2516
286	1014	2519
287	1016	2512
288	1021	2513
289	1030	2523
290	1032	2515
291	1035	2510
292	1037	2503
293	1041	2500
294	1043	2494
295	1053	2505
296	1056	2500
297	1058	2494
298	1061	2489
299	1070	2497
300	1072	2491
301	1075	2485
302	1085	2496
303	1088	2492
304	1091	2487
305	1098	2492
306	1102	2489
307	1106	2486
308	1113	2490
309	1117	2488
310	1120	2481
311	1127	2486
312	1131	2483
313	1133	2477
314	1140	2480
315	1144	2477
316	1146	2470
317	1148	2463
318	1156	2468
319	1158	2461
320	1160	2454
321	1163	2450
322	1174	2461
323	1187	2477
324	1191	2474
325	1201	2483
326	1204	2478
327	1207	2472
328	1213	2475
329	1221	2480
330	1224	2474
331	1227	2469
332	1229	2462
333	1234	2461
334	1236	2454
335	1239	2448
336	1241	2441
337	1243	2435
338	1249	2436
339	1252	2430
340	1254	2424
341	1257	2419
342	1289	2469
343	1296	2472
344	1299	2466
345	1301	2460
346	1304	2454
347	1311	2456
348	1314	2452
349	1317	2446
350	1320	2441
351	1325	2440
352	1328	2434
353	1329	2426
354	1332	2420
355	1334	2413
356	1339	2413
357	1345	2413
358	1348	2407
359	1349	2399
360	1358	2404
361	1360	2397
362	1362	2390
363	1363	2382
364	1373	2390
365	1376	2384
366	1378	2378
367	1385	2379
368	1388	2373
369	1390	2367
370	1392	2360
371	1402	2368
372	1405	2361
373	1407	2355
374	1415	2358
375	1417	2352
376	1420	2346
377	1422	2340
378	1426	2337
379	1433	2339
380	1436	2333
381	1438	2326
382	1441	2322
383	1445	2318
384	1447	2311
385	1449	2305
386	1451	2298
387	1453	2292
388	1468	2306
389	1474	2306
390	1477	2301
391	1479	2294
392	1481	2287
393	1484	2282
394	1487	2278
395	1489	2271
396	1493	2268
397	1497	2264
398	1499	2259
399	1530	2295
400	1532	2289
401	1534	2283
402	1544	2288
403	1548	2284
404	1558	2290
405	1563	2286
406	1566	2281
407	1570	2278
408	1573	2274
409	1577	2270
410	1586	2273
411	1588	2266
412	1591	2261
413	1593	2255
414	1599	2255
415	1603	2250
416	1607	2247
417	1613	2246
418	1615	2240
419	1617	2233
420	1622	2231
421	1630	2233
422	1645	2245
423	1655	2248
424	1663	2250
425	1675	2258
426	1681	2256
427	1684	2251
428	1687	2246
429	1691	2242
430	1694	2236
431	1698	2233
432	1701	2227
433	1711	2232
434	1714	2226
435	1728	2235
436	1730	2229
437	1732	2222
438	1734	2216
439	1739	2214
440	1742	2208
441	1744	2202
442	1746	2196
443	1748	2189
444	1756	2190
445	1758	2184
446	1760	2177
447	1764	2174
448	1767	2169
449	1769	2162
450	1771	2156
451	1773	2150
452	1775	2144
453	1783	2144
454	1785	2139
455	1790	2136
456	1798	2137
457	1801	2131
458	1803	2125
459	1805	2119
460	1815	2122
461	1818	2118
462	1827	2119
463	1829	2113
464	1831	2107
465	1834	2101
466	1836	2095
467	1839	2090
468	1842	2085
469	1844	2079
470	1848	2075
471	1853	2073
472	1855	2067
473	1857	2061
474	1859	2055
475	1863	2051
476	1869	2049
477	1872	2044
478	1874	2039
479	1877	2034
480	1881	2030
481	1885	2026
482	1888	2021
483	1890	2015
484	1892	2009
485	1897	2007
486	1901	2002
487	1904	1998
488	1907	1993
489	1911	1989
490	1915	1985
491	1918	1980
492	1927	1982
493	1930	1977
494	1933	1972
495	1935	1966
496	1938	1961
497	1941	1956
498	1944	1951
499	1946	1946
500	1951	1943
501	1955	1939
502	1957	1934
503	1961	1930
504	1965	1926
505	1968	1921
506	1972	1918
507	1975	1913
508	1986	1916
509	1989	1911
510	1991	1905
511	1995	1901
512	1998	1896
513	2003	1894
514	2008	1891
515	2011	1886
516	2013	1881
517	2015	1875
518	2018	1870
519	2022	1866
520	2026	1863
521	2029	1858
522	2032	1853
523	2038	1851
524	2040	1845
525	2041	1840
526	2045	1836
527	2050	1832
528	2053	1828
529	2057	1824
530	2060	1820
531	2066	1818
532	2069	1812
533	2072	1808
534	2074	1803
535	2082	1803
536	2091	1803
537	2102	1805
538	2106	1801
539	2115	1802
540	2118	1797
541	2124	1795
542	2130	1792
543	2134	1789
544	2136	1784
545	2159	1795
546	2161	1790
547	2164	1785
548	2167	1780
549	2174	1779
550	2176	1773
551	2187	1775
552	2189	1769
553	2191	1764
554	2194	1759
555	2197	1755
556	2200	1749
557	2203	1745
558	2215	1748
559	2227	1749
560	2229	1744
561	2232	1740
562	2261	1755
563	2267	1753
564	2272	1749
565	2274	1744
566	2278	1739
567	2282	1735
568	2287	1732
569	2298	1733
570	2300	1728
571	2304	1724
572	2313	1724
573	2318	1720
574	2323	1717
575	2327	1713
576	2330	1708
577	2333	1703
578	2344	1704
579	2347	1699
580	2351	1695
581	2357	1693
582	2361	1689
583	2363	1683
584	2376	1686
585	2380	1681
586	2387	1680
587	2390	1675
588	2393	1669
589	2398	1666
590	2402	1662
591	2405	1657
592	2410	1654
593	2414	1650
594	2422	1649
595	2430	1647
596	2433	1642
597	2436	1638
598	2443	1635
599	2445	1630
600	2449	1625
601	2453	1621
602	2458	1618
603	2460	1613
604	2470	1612
605	2472	1607
606	2474	1601
607	2476	1596
608	2478	1591
609	2482	1587
610	2485	1582
611	2489	1578
612	2495	1575
613	2499	1571
